,nB/n0,sigma field (MeV),rho field (MeV),omega field (MeV),Neutron kF (MeV),Proton kF (MeV),electron kF (MeV),Neutron frac,Proton frac,electron frac
16,0.43000000,86.03283834,-2.96603055,7.19012562,238.56536365,111.61004386,111.61004386,0.90711414,0.09288586,0.09288586
17,0.44000000,86.58732914,-3.01560079,7.35733784,240.17036336,113.50965335,113.50965335,0.90451087,0.09548913,0.09548913
18,0.45000000,87.11112321,-3.06510842,7.52455007,241.75345974,115.35094790,115.35094790,0.90201509,0.09798491,0.09798491
19,0.46000000,87.60631246,-3.11458857,7.69176229,243.31577193,117.13663558,117.13663558,0.89962429,0.10037571,0.10037571
20,0.47000000,88.07485839,-3.16406976,7.85897451,244.85828655,118.86942854,118.86942854,0.89733536,0.10266464,0.10266464
21,0.48000000,88.51859354,-3.21357471,8.02618674,246.38187579,120.55200427,120.55200427,0.89514472,0.10485528,0.10485528
22,0.49000000,88.93922489,-3.26312113,8.19339896,247.88731350,122.18697618,122.18697618,0.89304850,0.10695150,0.10695150
23,0.50000000,89.33833857,-3.31272247,8.36061118,249.37528943,123.77687198,123.77687198,0.89104260,0.10895740,0.10895740
24,0.51000000,89.71740564,-3.36238853,8.52782341,250.84642161,125.32411860,125.32411860,0.88912286,0.11087714,0.11087714
25,0.52000000,90.07778837,-3.41212608,8.69503563,252.30126696,126.83103243,126.83103243,0.88728507,0.11271493,0.11271493
26,0.53000000,90.42074690,-3.46193937,8.86224786,253.74033051,128.29981369,128.29981369,0.88552506,0.11447494,0.11447494
